pc_brand,pc_model,elt_condition,elt_warranty,desktop_screen_size,pc_cpu,pc_ram,pc_vga,pc_drive_capacity,elt_origin,usage_information,classify,price
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i5,4 GB,Onboard,128 GB,Việt Nam,In trên bao bì,desktop,2.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,>= 21 inch,AMD,32 GB,NVIDIA,256 GB,Đang cập nhật,In trên bao bì,desktop,6.000.000 đ
,,Đã sử dụng (chưa sửa chữa),4-6 tháng,17 - 18.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Việt Nam,In trên bao bì,desktop,2.350.000 đ
,,Mới,Bảo hành hãng,,Intel Core i5,8 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,6.000.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,128 GB,Việt Nam,In trên bao bì,desktop,5.500.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i3,8 GB,AMD,< 128 GB,Việt Nam,In trên bao bì,desktop,3.200.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Không bán kèm màn hình,Intel Core i5,8 GB,NVIDIA,128 GB,Đang cập nhật,In trên bao bì,desktop,3.400.000 đ
,,Đã sử dụng (chưa sửa chữa),7-12 tháng,Không bán kèm màn hình,Intel Xeon,> 32GB,NVIDIA,> 1 TB,Việt Nam,In trên bao bì,desktop,15.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,6.000.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Intel Xeon,16 GB,AMD,250 GB,Việt Nam,In trên bao bì,desktop,6.650.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,19 - 20.9 inch,Intel Core i3,4 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,desktop,2.000.000 đ
,,Mới,Bảo hành hãng,,,,,,Việt Nam,In trên bao bì,desktop,50.000 đ
,,Đã sử dụng (chưa sửa chữa),7-12 tháng,Không bán kèm màn hình,Intel Xeon,> 32GB,NVIDIA,512 GB,Đang cập nhật,In trên bao bì,desktop,35.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Việt Nam,In trên bao bì,desktop,250.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Intel Core i3,8 GB,Onboard,256 GB,Nhật Bản,In trên bao bì,desktop,7.500.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,4.500.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,2.300.000 đ
,,Đã sử dụng (chưa sửa chữa),4-6 tháng,>= 21 inch,Intel Core i7,16 GB,NVIDIA,500 GB,Việt Nam,In trên bao bì,desktop,450.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,19 - 20.9 inch,AMD,8 GB,AMD,128 GB,Trung Quốc,In trên bao bì,desktop,3.900.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i5,16 GB,Onboard,128 GB,Mỹ,In trên bao bì,desktop,4.900.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Intel Core i5,16 GB,NVIDIA,480 GB,Việt Nam,In trên bao bì,desktop,8.670.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,1.350.000 đ
,,Mới,3 tháng,>= 21 inch,Intel Core i5,8 GB,Khác,128 GB,Nhật Bản,In trên bao bì,desktop,3.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,2.700.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,500 GB,Việt Nam,In trên bao bì,desktop,8.500.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Core i5,8 GB,Khác,500 GB,Việt Nam,In trên bao bì,desktop,1.800.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,< 128 GB,Nhật Bản,In trên bao bì,desktop,1.800.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,128 GB,Việt Nam,In trên bao bì,desktop,5.800.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,128 GB,Việt Nam,In trên bao bì,desktop,5.800.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,NVIDIA,< 128 GB,Đang cập nhật,In trên bao bì,desktop,3.900.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i3,8 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,desktop,3.290.000 đ
,,,,,,,,,,,desktop,
,,Mới,>12 tháng,>= 21 inch,Intel Xeon,> 32GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,10.500.000 đ
,,Mới,7-12 tháng,>= 21 inch,Intel Xeon,32 GB,NVIDIA,500 GB,Việt Nam,In trên bao bì,desktop,10.500.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Core i5,16 GB,NVIDIA,256 GB,Đang cập nhật,In trên bao bì,desktop,8.300.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i5,8 GB,AMD,256 GB,Đang cập nhật,In trên bao bì,desktop,4.500.000 đ
,,Đã sử dụng (qua sửa chữa),Hết bảo hành,>= 21 inch,Intel Core 2 Duo,4 GB,,250 GB,Đang cập nhật,In trên bao bì,desktop,7.000.000 đ
,,Mới,Bảo hành hãng,Không bán kèm màn hình,Intel Core i5,16 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,10.500.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Xeon,> 32GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,13.500.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Core i3,16 GB,AMD,512 GB,Đang cập nhật,In trên bao bì,desktop,10.200.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i3,4 GB,,128 GB,Đang cập nhật,In trên bao bì,desktop,2.500.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,250 GB,Việt Nam,In trên bao bì,desktop,8.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,>= 21 inch,Intel Core i5,8 GB,AMD,128 GB,Đang cập nhật,In trên bao bì,desktop,7.200.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i3,8 GB,Onboard,250 GB,Đang cập nhật,In trên bao bì,desktop,750.000 đ
,,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Core i5,16 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,10.500.000 đ
,,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Core i3,16 GB,AMD,256 GB,Việt Nam,In trên bao bì,desktop,9.950.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,4.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i5,16 GB,NVIDIA,250 GB,Nước khác,In trên bao bì,desktop,5.650.000 đ
,,Mới,>12 tháng,Không bán kèm màn hình,Intel Core i5,16 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,desktop,22.690.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,AMD,8 GB,,,Đang cập nhật,In trên bao bì,desktop,1.100.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,3.999.999 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,AMD,256 GB,Đang cập nhật,In trên bao bì,desktop,6.800.000 đ
,,Đã sử dụng (qua sửa chữa),Hết bảo hành,,,,,,Đang cập nhật,In trên bao bì,desktop,100.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Xeon,32 GB,NVIDIA,256 GB,Đang cập nhật,In trên bao bì,desktop,6.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,17 - 18.9 inch,Intel Xeon,16 GB,NVIDIA,256 GB,Đang cập nhật,In trên bao bì,desktop,10.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,>= 21 inch,Intel Core i3,16 GB,NVIDIA,250 GB,Nước khác,In trên bao bì,desktop,2.000.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Xeon,32 GB,AMD,256 GB,Đang cập nhật,In trên bao bì,desktop,8.000.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,19 - 20.9 inch,Intel Core i3,8 GB,NVIDIA,128 GB,Đang cập nhật,In trên bao bì,desktop,4.300.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,,Khác,,Khác,,Đang cập nhật,In trên bao bì,desktop,200.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i5,8 GB,NVIDIA,128 GB,Đang cập nhật,In trên bao bì,desktop,5.000.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Core i5,16 GB,Onboard,512 GB,Đang cập nhật,In trên bao bì,desktop,6.999.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i3,4 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,desktop,2.100.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Khác,16 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,desktop,2.400.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Xeon,8 GB,NVIDIA,250 GB,Nước khác,In trên bao bì,desktop,1.700.000 đ
,,,,,,,,,,,desktop,
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,17 - 18.9 inch,Intel Core i5,8 GB,Khác,250 GB,Đang cập nhật,In trên bao bì,desktop,700.000 đ
,,Mới,Còn bảo hành,>= 21 inch,Intel Core i3,16 GB,AMD,256 GB,Việt Nam,In trên bao bì,desktop,10.000.000 đ
,,Đã sử dụng (chưa sửa chữa),7-12 tháng,>= 21 inch,Intel Xeon,32 GB,Khác,256 GB,Đang cập nhật,In trên bao bì,desktop,7.700.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i5,8 GB,NVIDIA,128 GB,Việt Nam,In trên bao bì,desktop,6.500.000 đ
,,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Core i5,16 GB,NVIDIA,256 GB,Nước khác,In trên bao bì,desktop,7.800.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,,Intel Core i3,16 GB,NVIDIA,256 GB,Đang cập nhật,In trên bao bì,desktop,8.800.000 đ
,,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Core i7,32 GB,NVIDIA,512 GB,Nước khác,In trên bao bì,desktop,17.000.000 đ
,,Mới,7-12 tháng,Không bán kèm màn hình,Intel Xeon,32 GB,NVIDIA,128 GB,Việt Nam,In trên bao bì,desktop,5.400.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,3.200.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,15 - 16.9 inch,Intel Core i5,4 GB,,256 GB,Đang cập nhật,In trên bao bì,desktop,15.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,5.499.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i5,16 GB,Onboard,256 GB,Mỹ,In trên bao bì,desktop,3.850.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Core i7,16 GB,Khác,500 GB,Nước khác,In trên bao bì,desktop,9.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,5.499.000 đ
,,Đã sử dụng (chưa sửa chữa),4-6 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,< 128 GB,Đang cập nhật,In trên bao bì,desktop,1.530.000 đ
,,Mới,Bảo hành hãng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,< 128 GB,Việt Nam,In trên bao bì,desktop,5.650.000 đ
,,Mới,7-12 tháng,Không bán kèm màn hình,Intel Xeon,16 GB,NVIDIA,256 GB,Nước khác,In trên bao bì,desktop,3.900.000 đ
,,Mới,7-12 tháng,Không bán kèm màn hình,Intel Xeon,32 GB,NVIDIA,128 GB,Trung Quốc,In trên bao bì,desktop,3.700.000 đ
,,Đã sử dụng (chưa sửa chữa),4-6 tháng,Không bán kèm màn hình,Intel Core i3,4 GB,Onboard,< 128 GB,Đang cập nhật,In trên bao bì,desktop,1.250.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i7,8 GB,NVIDIA,128 GB,Nước khác,In trên bao bì,desktop,6.300.000 đ
,,Mới,7-12 tháng,>= 21 inch,Intel Xeon,16 GB,NVIDIA,256 GB,Nước khác,In trên bao bì,desktop,6.800.000 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,19 - 20.9 inch,Intel Core i5,8 GB,NVIDIA,128 GB,Việt Nam,In trên bao bì,desktop,1.800.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i5,16 GB,,128 GB,Đang cập nhật,In trên bao bì,desktop,3.500.000 đ
,,Mới,Còn bảo hành,,Intel Core i7,> 32GB,NVIDIA,128 GB,Nước khác,In trên bao bì,desktop,3.450.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,4.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,19 - 20.9 inch,Intel Pentium,8 GB,Onboard,500 GB,Việt Nam,In trên bao bì,desktop,1.950.000 đ
,,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Core i3,16 GB,NVIDIA,256 GB,Nước khác,In trên bao bì,desktop,9.700.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Core i5,16 GB,NVIDIA,256 GB,Mỹ,In trên bao bì,desktop,7.900.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i3,4 GB,,,Đang cập nhật,In trên bao bì,desktop,800.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,19 - 20.9 inch,Intel Core i3,8 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,desktop,1.990.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,4.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,19 - 20.9 inch,AMD,8 GB,NVIDIA,128 GB,Nước khác,In trên bao bì,desktop,1.600.000 đ
,,Mới,7-12 tháng,>= 21 inch,Intel Core i3,8 GB,Onboard,128 GB,Việt Nam,In trên bao bì,desktop,4.490.000 đ
,,Mới,Còn bảo hành,>= 21 inch,Intel Core i5,16 GB,NVIDIA,500 GB,Việt Nam,In trên bao bì,desktop,17.350.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Core i5,8 GB,AMD,256 GB,Việt Nam,In trên bao bì,desktop,8.200.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,3.700.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Xeon,16 GB,NVIDIA,> 1 TB,Trung Quốc,In trên bao bì,desktop,55.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i7,32 GB,NVIDIA,500 GB,Đang cập nhật,In trên bao bì,desktop,12.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Khác,16 GB,Onboard,512 GB,Việt Nam,In trên bao bì,desktop,35.000.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Core i7,16 GB,NVIDIA,500 GB,Mỹ,In trên bao bì,desktop,12.900.000 đ
,,Đã sử dụng (chưa sửa chữa),4-6 tháng,19 - 20.9 inch,Intel Core i5,4 GB,NVIDIA,128 GB,Việt Nam,In trên bao bì,desktop,2.200.000 đ
,,Đã sử dụng (qua sửa chữa),Hết bảo hành,19 - 20.9 inch,Intel Core i5,8 GB,,256 GB,Đang cập nhật,In trên bao bì,desktop,1.800.000 đ
,,Đã sử dụng (chưa sửa chữa),2 tháng,Không bán kèm màn hình,Intel Pentium,4 GB,Onboard,128 GB,Việt Nam,In trên bao bì,desktop,1.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,>= 21 inch,Intel Core i5,16 GB,,250 GB,Đang cập nhật,In trên bao bì,desktop,138.888 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,3.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,4.300.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Intel Core i5,16 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,13.900.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,17 - 18.9 inch,Intel Core i5,8 GB,NVIDIA,128 GB,Đang cập nhật,In trên bao bì,desktop,4.600.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Không bán kèm màn hình,Intel Core i3,8 GB,Onboard,< 128 GB,Đang cập nhật,In trên bao bì,desktop,800.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,,,,,256 GB,Việt Nam,In trên bao bì,desktop,11.000.000 đ
,,Mới,Bảo hành hãng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,< 128 GB,Đang cập nhật,In trên bao bì,desktop,4.600.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,17 - 18.9 inch,Intel Core 2 Duo,4 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,desktop,1.180.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,3.999.000 đ
,,Đã sử dụng (qua sửa chữa),1 tháng,>= 21 inch,Intel Xeon,16 GB,AMD,< 128 GB,Đang cập nhật,In trên bao bì,desktop,5.900.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,19 - 20.9 inch,Intel Core i3,8 GB,Onboard,250 GB,Đang cập nhật,In trên bao bì,desktop,4.000.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Core i5,8 GB,AMD,128 GB,Đang cập nhật,In trên bao bì,desktop,3.900.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,>= 21 inch,Intel Core i3,16 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,9.600.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,19 - 20.9 inch,Intel Core i3,8 GB,Khác,128 GB,Việt Nam,In trên bao bì,desktop,2.200.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,17 - 18.9 inch,Intel Core i3,8 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,desktop,2.190.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,17 - 18.9 inch,Intel Core i5,8 GB,NVIDIA,128 GB,Đang cập nhật,In trên bao bì,desktop,2.300.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Xeon,> 32GB,AMD,500 GB,Việt Nam,In trên bao bì,desktop,12.800.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Core i9,32 GB,NVIDIA,1 TB,Việt Nam,In trên bao bì,desktop,26.900.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,17 - 18.9 inch,Intel Xeon,16 GB,AMD,500 GB,Việt Nam,In trên bao bì,desktop,6.800.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,6.700.000 đ
,,Mới,7-12 tháng,>= 21 inch,Intel Xeon,32 GB,NVIDIA,128 GB,Việt Nam,In trên bao bì,desktop,7.800.000 đ
,,Mới,>12 tháng,Không bán kèm màn hình,Intel Core i5,16 GB,AMD,256 GB,Việt Nam,In trên bao bì,desktop,16.999.999 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Core i5,16 GB,AMD,128 GB,Việt Nam,In trên bao bì,desktop,7.500.000 đ
,,Mới,>12 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,AMD,256 GB,Đang cập nhật,In trên bao bì,desktop,10.800.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Core i5,16 GB,NVIDIA,256 GB,Đang cập nhật,In trên bao bì,desktop,11.000.000 đ
,,Mới,>12 tháng,Không bán kèm màn hình,Intel Core i3,8 GB,AMD,256 GB,Đang cập nhật,In trên bao bì,desktop,9.500.000 đ
,,Đã sử dụng (chưa sửa chữa),4-6 tháng,Không bán kèm màn hình,Intel Core i5,16 GB,AMD,256 GB,Đang cập nhật,In trên bao bì,desktop,10.999.999 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Ryzen 3,8 GB,AMD,128 GB,Đang cập nhật,In trên bao bì,desktop,5.200.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Core i3,8 GB,NVIDIA,128 GB,Đang cập nhật,In trên bao bì,desktop,7.777.777 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Core i5,8 GB,AMD,128 GB,Việt Nam,In trên bao bì,desktop,7.500.000 đ
,,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Core i5,16 GB,AMD,256 GB,Việt Nam,In trên bao bì,desktop,15.500.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,,Intel Xeon,16 GB,,250 GB,Đang cập nhật,In trên bao bì,desktop,7.700.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Khác,> 32GB,Khác,< 128 GB,Việt Nam,In trên bao bì,desktop,1.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Không bán kèm màn hình,Intel Core i3,6 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,desktop,1.950.000 đ
,,Mới,7-12 tháng,19 - 20.9 inch,Khác,8 GB,Khác,128 GB,Việt Nam,In trên bao bì,desktop,5.500.000 đ
,,Mới,Còn bảo hành,>= 21 inch,Intel Xeon,> 32GB,AMD,250 GB,Việt Nam,In trên bao bì,desktop,9.200.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Intel Core i5,8 GB,Khác,1 TB,Việt Nam,In trên bao bì,desktop,6.500.000 đ
,,Mới,>12 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,desktop,6.900.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,NVIDIA,128 GB,Đang cập nhật,In trên bao bì,desktop,2.000.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Core i5,32 GB,Onboard,512 GB,Mỹ,In trên bao bì,desktop,9.999.990 đ
,,Mới,>12 tháng,>= 21 inch,Intel Core i5,16 GB,NVIDIA,256 GB,Nước khác,In trên bao bì,desktop,10.490.000 đ
,,Mới,>12 tháng,Không bán kèm màn hình,Intel Core i5,16 GB,AMD,256 GB,Đang cập nhật,In trên bao bì,desktop,8.890.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,>= 21 inch,Intel Core i5,16 GB,NVIDIA,1 TB,Đang cập nhật,In trên bao bì,desktop,7.300.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Khác,8 GB,Onboard,256 GB,Nhật Bản,In trên bao bì,desktop,20.500.000 đ
,,Đã sử dụng (qua sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core 2 Duo,2 GB,Onboard,250 GB,Nước khác,In trên bao bì,desktop,500.000 đ
